,Year,optimal_h,rra,ara
Argentina,2013,4.200000000000001,2.3204652135895225,5.078816647917054e-05
Argentina,2014,4.200000000000001,2.5090064327494135,5.627186961930898e-05
Argentina,2015,4.200000000000001,2.5862833560509317,5.85575169837834e-05
Argentina,2016,4.200000000000001,4.416571336511106,0.00011820059299998969
Argentina,2017,4.200000000000001,3.737617868943794,9.494586777080979e-05
Argentina,2018,4.200000000000001,7.7162584891527475,0.00024584798211472564
Argentina,2019,4.200000000000001,10.368106206831532,0.00036228535355150524
Argentina,2020,4.200000000000001,16.207229984972386,0.0006511605160025991
Argentina,2021,4.200000000000001,7.440974486761542,0.00023440096651647415
Argentina,2022,4.200000000000001,4.037110482336776,0.00010505409200529761
Argentina,2023,4.200000000000001,4.2352742698808,0.00011187351571105394
Argentina,2024,4.200000000000001,4.977647241103924,0.0001382895670421021
Australia,2013,3.16,2.279843685729737,3.192581492791744e-05
Australia,2014,3.16,2.8516097202870654,4.429146745967748e-05
Australia,2015,3.16,3.5202445676569236,6.0277599043156895e-05
Australia,2016,3.16,4.989913533691751,0.0001004209582948532
Australia,2017,3.16,4.208125313270103,7.826340332769383e-05
Australia,2018,3.16,3.98476429226861,7.226149611970797e-05
Australia,2019,3.16,4.564941308437291,8.815955709616069e-05
Australia,2020,3.16,5.172066814713569,0.00010582890767114937
Australia,2021,3.16,4.1110207072939655,7.563551151198178e-05
Australia,2022,3.16,4.331992943354186,8.165649070252787e-05
Australia,2023,3.16,4.735092861935604,9.300808712079985e-05
Australia,2024,3.16,4.6908254980708115,9.173877987440154e-05
Belgium,2013,-1.46,-13.014754412906676,-4.755226499075603e-05
Belgium,2014,-1.46,-9.608131125324539,-3.971459983177802e-05
Belgium,2015,-1.46,-8.331882857910264,-3.6493482179248844e-05
Belgium,2016,-1.46,-8.688887036466507,-3.741359082373387e-05
Belgium,2017,-1.46,-9.80720858140551,-4.0200935260677824e-05
Belgium,2018,-1.46,-12.325665052211217,-4.60415039013907e-05
Belgium,2019,-1.46,-4.682039101438255,-2.592140002505707e-05
Belgium,2020,-1.46,-2.9126323672695946,-1.9557333615671786e-05
Belgium,2021,-1.46,-1.8258417926928712,-1.4822972347850621e-05
Belgium,2022,-1.46,-1.2476600873188828,-1.1824716531476634e-05
Belgium,2023,-1.46,-0.7652628965047603,-8.847082617727243e-06
Belgium,2024,-1.46,-0.7632384925432135,-8.833185072688408e-06
Switzerland,2013,0.1299999999999999,2.2149009273176423,2.6908295849414175e-05
Switzerland,2014,0.1299999999999999,2.2127086060881913,2.6912277905138093e-05
Switzerland,2015,0.1299999999999999,2.1720612788882865,2.698694064424393e-05
Switzerland,2016,0.1299999999999999,2.078415691046205,2.7165243559910787e-05
Switzerland,2017,0.1299999999999999,1.9980592055150532,2.7325767619225366e-05
Switzerland,2018,0.1299999999999999,1.950408544100726,2.7424502662157873e-05
Switzerland,2019,0.1299999999999999,1.8673191557227726,2.7603487159010733e-05
Switzerland,2020,0.1299999999999999,1.8916553469587765,2.7550130667185126e-05
Switzerland,2021,0.1299999999999999,1.9405206429008828,2.7445338429892264e-05
Switzerland,2022,0.1299999999999999,1.7199817834188056,2.794458354071318e-05
Switzerland,2023,0.1299999999999999,1.713578369759168,2.7960162561944378e-05
Switzerland,2024,0.1299999999999999,1.533585304247118,2.842767869812668e-05
Chile,2013,2.9800000000000004,2.934498474271124,0.00015751011650367997
Chile,2014,2.9800000000000004,3.5297873504718957,0.0002079866973734105
Chile,2015,2.9800000000000004,3.976134223375758,0.00024880864966402087
Chile,2016,2.9800000000000004,3.9376202098904125,0.00024519031293147685
Chile,2017,2.9800000000000004,3.5090141085714883,0.00020614721413042937
Chile,2018,2.9800000000000004,3.3470463077797166,0.00019199447296169896
Chile,2019,2.9800000000000004,4.03823233510593,0.0002546800131284007
Chile,2020,2.9800000000000004,5.432181964018552,0.00039794201413560445
Chile,2021,2.9800000000000004,3.9243023064399867,0.00024394325932346653
Chile,2022,2.9800000000000004,4.9354778959341035,0.0003444623958331626
Chile,2023,2.9800000000000004,4.327287347613001,0.0002826071540032636
Chile,2024,2.9800000000000004,4.883648364085951,0.0003390325720683742
Colombia,2013,2.7300000000000004,3.8634513883527197,0.0003886696040379974
Colombia,2014,2.7300000000000004,4.07722642453419,0.0004231455984418706
Colombia,2015,2.7300000000000004,6.379638048140561,0.0008576478816306201
Colombia,2016,2.7300000000000004,7.042979657857379,0.001002540697959921
Colombia,2017,2.7300000000000004,6.399643264577189,0.0008618957008624057
Colombia,2018,2.7300000000000004,6.198199649740296,0.0008194745865501521
Colombia,2019,2.7300000000000004,7.033264070462742,0.0010003591841485744
Colombia,2020,2.7300000000000004,9.858570393509833,0.0017044561179712246
Colombia,2021,2.7300000000000004,8.275722399347712,0.0012931309938925585
Colombia,2022,2.7300000000000004,8.76473962262427,0.0014157540896614824
Colombia,2023,2.7300000000000004,8.407329126194647,0.0013257310492291372
Colombia,2024,2.7300000000000004,7.038555986901094,0.001001547202045962
Costa Rica,2013,-0.8899999999999997,-4.227232766441727,-2.1697194984086082e-06
Costa Rica,2014,-0.8899999999999997,-1.2497218556442709,-1.2223158366183008e-06
Costa Rica,2015,-0.8899999999999997,-0.29816434569684225,-6.224658757981321e-07
Costa Rica,2016,-0.8899999999999997,-0.15293320787331532,-4.545444972507367e-07
Costa Rica,2017,-0.8899999999999997,-0.11340661386139797,-3.9484240736718513e-07
Costa Rica,2018,-0.8899999999999997,-0.10097937019723031,-3.738417161068994e-07
Costa Rica,2019,-0.8899999999999997,-0.11103095321172428,-3.909256735207235e-07
Costa Rica,2020,-0.8899999999999997,-0.093633240652352,-3.607788195097511e-07
Costa Rica,2021,-0.8899999999999997,-0.07849544418363061,-3.3202968481251043e-07
Costa Rica,2022,-0.8899999999999997,-0.09286924181996106,-3.5938959562542584e-07
Costa Rica,2023,-0.8899999999999997,-0.11798867813651759,-4.022760539953197e-07
Costa Rica,2024,-0.8899999999999997,-0.14850795550671503,-4.4830280609161585e-07
Czechia,2013,1.4500000000000002,3.1185526050169274,1.7022443802749515e-05
Czechia,2014,1.4500000000000002,3.0596897621950467,1.600869114938277e-05
Czechia,2015,1.4500000000000002,3.0686963973802897,1.61610319826508e-05
Czechia,2016,1.4500000000000002,3.0399877734588365,1.5678903954914473e-05
Czechia,2017,1.4500000000000002,2.9978531774256383,1.4989400758236936e-05
Czechia,2018,1.4500000000000002,2.829603547613527,1.244387313887398e-05
Czechia,2019,1.4500000000000002,2.9351388736687274,1.4002280653120919e-05
Czechia,2020,1.4500000000000002,2.926884310996788,1.3875788952726487e-05
Czechia,2021,1.4500000000000002,2.592327276621107,9.384170681191096e-06
Czechia,2022,1.4500000000000002,2.8793452276796296,1.3162604397643115e-05
Czechia,2023,1.4500000000000002,3.6071988845277714,2.7209538477943963e-05
Czechia,2024,1.4500000000000002,3.6661050099330508,2.8667439497801198e-05
Germany,2013,2.3,2.5149388055413917,6.577320899409642e-05
Germany,2014,2.3,2.4832698332584604,6.431496727679507e-05
Germany,2015,2.3,3.2245182797526404,0.00010209753053369714
Germany,2016,2.3,3.0772797002307324,9.399475479580021e-05
Germany,2017,2.3,2.743340739502356,7.670816900569992e-05
Germany,2018,2.3,2.5421319193566925,6.703668180250811e-05
Germany,2019,2.3,2.7875745568192407,7.89099922498428e-05
Germany,2020,2.3,2.9465057633912943,8.704353061877705e-05
Germany,2021,2.3,2.8243421294396507,8.076075326986435e-05
Germany,2022,2.3,3.46834847612014,0.00011615163778256658
Germany,2023,2.3,3.2907796331897887,0.0001058387122676372
Germany,2024,2.3,3.2613437955286093,0.00010416951029961372
Denmark,2013,2.66,3.1180676753803955,3.956091061299268e-05
Denmark,2014,2.66,3.087079940744783,3.893279379059973e-05
Denmark,2015,2.66,4.092564179056351,6.116835774218095e-05
Denmark,2016,2.66,4.533613855316995,7.206964318343211e-05
Denmark,2017,2.66,4.466878059687649,7.037722927278333e-05
Denmark,2018,2.66,4.209066430878342,6.398241747922926e-05
Denmark,2019,2.66,4.301639646753468,6.625224599827225e-05
Denmark,2020,2.66,4.043793762622235,6.0004507266117996e-05
Denmark,2021,2.66,3.486216226793346,4.7307840585617564e-05
Denmark,2022,2.66,4.223139823567041,6.432556762395071e-05
Denmark,2023,2.66,4.427050136362443,6.937441623622377e-05
Denmark,2024,2.66,3.8160391031365712,5.468161307730274e-05
Spain,2013,3.9800000000000004,3.5469930817693145,4.816821259835853e-05
Spain,2014,3.9800000000000004,3.4745564542168763,4.685894705089412e-05
Spain,2015,3.9800000000000004,5.469199632894788,8.588800215213995e-05
Spain,2016,3.9800000000000004,5.051790508926201,7.724744253058245e-05
Spain,2017,3.9800000000000004,4.444654862556413,6.510534663875468e-05
Spain,2018,3.9800000000000004,3.0455401024159547,3.929624772562641e-05
Spain,2019,3.9800000000000004,3.5574423668058914,4.835782557119542e-05
Spain,2020,3.9800000000000004,4.91839803419005,7.453539605422722e-05
Spain,2021,3.9800000000000004,4.3684773349748385,6.361935348548408e-05
Spain,2022,3.9800000000000004,6.008811240523155,9.738908855097093e-05
Spain,2023,3.9800000000000004,5.17231411332114,7.971861824464868e-05
Spain,2024,3.9800000000000004,4.7996435268432975,7.214162128266743e-05
Estonia,2013,1.12,2.16756757478905,9.154708123230358e-05
Estonia,2014,1.12,2.156123207786268,8.713376941554352e-05
Estonia,2015,1.12,2.193727370485932,0.0001023932305519662
Estonia,2016,1.12,2.1769434127542717,9.531028858799e-05
Estonia,2017,1.12,2.1530666083688788,8.5987664837581e-05
Estonia,2018,1.12,2.1265020568712263,7.657976148106463e-05
Estonia,2019,1.12,2.125154620101882,7.612806466844958e-05
Estonia,2020,1.12,2.127182286126149,7.680870017291429e-05
Estonia,2021,1.12,2.1003048893922025,6.821318810459865e-05
Estonia,2022,1.12,2.1122398793630377,7.191785016365886e-05
Estonia,2023,1.12,2.1067354973429127,7.018752532655866e-05
Estonia,2024,1.12,2.10142292020219,6.855284465921448e-05
France,2013,2.6799999999999997,1.3637200077523954,2.4274927082229194e-05
France,2014,2.6799999999999997,1.3645713698854143,2.4299106912171457e-05
France,2015,2.6799999999999997,1.6898451838580213,3.417505537713927e-05
France,2016,2.6799999999999997,2.5475973448810545,6.578311688379705e-05
France,2017,2.6799999999999997,2.519547340098312,6.463148280826721e-05
France,2018,2.6799999999999997,0.9616873112252814,1.39051011193747e-05
France,2019,2.6799999999999997,1.02113121429717,1.5301231322905934e-05
France,2020,2.6799999999999997,1.092804744340233,1.704997403092323e-05
France,2021,2.6799999999999997,1.000292396894483,1.480613438610329e-05
France,2022,2.6799999999999997,1.894646359493644,4.1016881299071936e-05
France,2023,2.6799999999999997,1.770919487625711,3.682776397715796e-05
France,2024,2.6799999999999997,1.864572387403349,3.998319250315689e-05
United Kingdom,2013,-0.4500000000000002,-0.3877483825622208,-7.813768989222493e-06
United Kingdom,2014,-0.4500000000000002,-0.4270328843179559,-8.051328198255653e-06
United Kingdom,2015,-0.4500000000000002,-0.3784591315808885,-7.755187885856065e-06
United Kingdom,2016,-0.4500000000000002,-0.6598384552721542,-9.215424562717159e-06
United Kingdom,2017,-0.4500000000000002,-1.7718588469655654,-1.252133517642529e-05
United Kingdom,2018,-0.4500000000000002,-1.8552699428296224,-1.2701374052823874e-05
United Kingdom,2019,-0.4500000000000002,-2.3630679315650593,-1.3691730973576788e-05
United Kingdom,2020,-0.4500000000000002,-1.8138698258282873,-1.261272767356252e-05
United Kingdom,2021,-0.4500000000000002,-2.017952372987182,-1.303705424753612e-05
United Kingdom,2022,-0.4500000000000002,-1.4992601586871177,-1.1888702665304599e-05
United Kingdom,2023,-0.4500000000000002,-1.344618600720778,-1.1493757192099245e-05
United Kingdom,2024,-0.4500000000000002,-1.4044381444870733,-1.1650072345607232e-05
Guatemala,2013,0.8799999999999999,13.808779874041186,0.00015959828031281254
Guatemala,2014,0.8799999999999999,13.783053866673558,0.00016179575775530819
Guatemala,2015,0.8799999999999999,14.146532257670263,0.00013368022405927475
Guatemala,2016,0.8799999999999999,14.31935711367564,0.00012229104072689499
Guatemala,2017,0.8799999999999999,14.095640430703675,0.00013726036919500952
Guatemala,2018,0.8799999999999999,14.046042860140268,0.00014085465391697435
Guatemala,2019,0.8799999999999999,14.093823114244701,0.00013739021432608605
Guatemala,2020,0.8799999999999999,14.096871566610888,0.00013717248521057595
Guatemala,2021,0.8799999999999999,14.18975460716874,0.000130722787226245
Guatemala,2022,0.8799999999999999,14.149677396072452,0.00013346247507486174
Guatemala,2023,0.8799999999999999,14.658102534123884,0.0001030220648985737
Guatemala,2024,0.8799999999999999,14.904931455398641,9.114802146841402e-05
Hungary,2013,1.7800000000000002,4.099673978103562,2.9617572666579733e-05
Hungary,2014,1.7800000000000002,4.184295052884026,3.103116332893198e-05
Hungary,2015,1.7800000000000002,5.211538168000963,5.1212631444187455e-05
Hungary,2016,1.7800000000000002,5.299479946637925,5.32061105092151e-05
Hungary,2017,1.7800000000000002,4.679711359145808,4.0058840027355884e-05
Hungary,2018,1.7800000000000002,4.246478605525707,3.2093592718473484e-05
Hungary,2019,1.7800000000000002,4.183673590542626,3.102064674666175e-05
Hungary,2020,1.7800000000000002,4.024199757191803,2.8387933959232436e-05
Hungary,2021,1.7800000000000002,3.5806425567602997,2.174660309109874e-05
Hungary,2022,1.7800000000000002,3.943356937837922,2.710323071222463e-05
Hungary,2023,1.7800000000000002,3.625071051667081,2.2367274994003508e-05
Hungary,2024,1.7800000000000002,3.5807530633025735,2.174813471607752e-05
Ireland,2013,3.7300000000000004,2.1580065314477808,4.091532138143786e-05
Ireland,2014,3.7300000000000004,1.7951062911472428,3.181508270186163e-05
Ireland,2015,3.7300000000000004,1.616226593732423,2.756425532153199e-05
Ireland,2016,3.7300000000000004,1.521065827773755,2.5371050970941926e-05
Ireland,2017,3.7300000000000004,1.2861386178995775,2.0173882991580933e-05
Ireland,2018,3.7300000000000004,1.1503253654106111,1.7320838219706634e-05
Ireland,2019,3.7300000000000004,1.6010226158889278,2.721058628604187e-05
Ireland,2020,3.7300000000000004,1.216892415944067,1.870465302807848e-05
Ireland,2021,3.7300000000000004,0.7913306638728297,1.038953371472508e-05
Ireland,2022,3.7300000000000004,1.1362324282874365,1.7031558629317992e-05
Ireland,2023,3.7300000000000004,8.663554476106809,0.0002733028150092846
Ireland,2024,3.7300000000000004,15.992440817452891,0.0006315078195869206
Iceland,2013,2.3500000000000005,2.4467642479760996,3.9439990612359645e-05
Iceland,2014,2.3500000000000005,2.2357804371338954,3.371042425047095e-05
Iceland,2015,2.3500000000000005,2.29179202641781,3.5194136106782246e-05
Iceland,2016,2.3500000000000005,1.8025399878740604,2.317010180028653e-05
Iceland,2017,2.3500000000000005,1.5326466976758952,1.747049441748825e-05
Iceland,2018,2.3500000000000005,1.4972495114829312,1.6774144446298468e-05
Iceland,2019,2.3500000000000005,1.6875499194548196,2.0658250038329286e-05
Iceland,2020,2.3500000000000005,2.0293016512112145,2.847799576176785e-05
Iceland,2021,2.3500000000000005,1.8052194030160855,2.3230088661247055e-05
Iceland,2022,2.3500000000000005,1.7974792255676915,2.3056981349976085e-05
Iceland,2023,2.3500000000000005,1.7496685611962282,2.1999950140833413e-05
